0.25	-1.76	-0.64	-0.72	0.04	-0.69	-0.62	0.16	-0.4	0.73	0.53	-1.1	0.26	0.61	-0.07	-0.26	-0.18	0.37	0.02	0.54	-0.1465
0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.1	1.91	0.48	0.78	-1.42	0.95	0.83	0.33	-0.5	-1.13	-1.18	1.4	-1.59	-2.12	0.73	0.52	0.07	-0.51	-0.21	-1.27	-0.0915
0	1	0	-1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.92	0.93	0.6	0.48	1.16	0.95	0.61	0.61	0.93	1.81	1.3	0.7	1.19	1.25	0.4	0.82	1.12	1.54	1.53	1.81	1.033
0.9	1.02	0.62	0.47	1.24	1.18	0.62	0.56	1.12	1.54	1.26	0.74	1.09	1.23	0.42	0.87	1.3	1.75	1.68	1.53	1.057
-0.06	-0.84	-0.48	-0.8	1.36	-0.73	-0.77	-0.41	0.49	1.31	1.21	-1.18	1.27	1.27	0	-0.5	-0.27	0.88	0.33	1.09	0.1585
0.09	-3.44	0.84	2.36	4.13	-1.14	-0.07	0.3	1.11	-1.03	-0.98	-3.14	-0.41	0.45	2.23	0.57	-1.4	0.85	0.01	-1.29	0.002
0.05	0.12	0.29	0.41	-0.84	0.46	0.38	0.31	-0.41	-0.69	-0.62	0.57	-0.38	-0.45	0.46	0.12	0.38	-0.98	-0.25	-0.46	-0.0765
0.18	-5.4	-1.3	-2.36	0.27	-1.22	-2.1	0.09	-1.48	0.37	0.41	-2.53	0.44	0.5	-0.2	-0.4	-0.34	-0.01	-0.08	0.32	-0.742
